Time (s),Accelerometer - X (g),Accelerometer - Y (g),Accelerometer - Z (g),Accelerometer - Total (g)
0.00,0.00,-0.07,0.98,0.07
0.16,0.00,-0.07,0.99,0.07
0.31,0.03,-0.04,1.06,0.05
0.48,-0.12,0.27,1.04,0.29
0.64,-0.02,0.00,1.00,0.02
0.79,-0.56,-0.33,1.05,0.65
0.96,-0.24,-0.33,0.86,0.40
1.10,-0.06,-0.79,0.72,0.79
1.27,0.07,-0.46,0.78,0.47
1.42,0.02,-0.49,0.82,0.49
1.59,-0.11,-0.83,0.98,0.84
1.74,0.01,-0.59,0.38,0.59
1.90,-0.59,-0.60,-0.77,0.84
2.08,-0.62,-0.20,-0.78,0.66
2.22,-0.96,0.03,-0.36,0.96
2.38,-0.51,-0.58,0.29,0.77
2.53,0.88,-0.61,-0.02,1.08
2.68,0.56,-0.83,-0.31,1.00
2.85,0.29,-0.67,0.51,0.73
3.00,-0.64,-0.84,0.62,1.06
3.16,-0.67,-0.82,-0.10,1.06
3.31,-1.00,-0.62,0.17,1.18
3.46,-0.29,-0.76,0.75,0.82
3.63,0.25,-1.24,0.41,1.26
3.79,0.05,-0.93,-0.06,0.93
3.96,-0.44,-0.38,0.80,0.58
4.11,-0.53,-0.43,0.69,0.68
4.29,0.04,-0.49,0.70,0.49
4.44,0.56,-0.38,0.59,0.68
4.59,0.48,-0.93,0.18,1.04
4.74,0.36,-0.85,0.30,0.92
4.90,0.54,-0.82,0.69,0.98
5.05,0.38,-0.97,0.33,1.04
5.22,0.62,-0.73,0.28,0.95
5.38,0.64,-0.65,0.55,0.91
5.53,0.75,-0.28,0.60,0.80
5.70,0.82,0.13,0.61,0.83
5.84,0.69,0.35,0.72,0.77
6.01,0.20,0.08,1.01,0.21
6.18,-0.28,0.05,0.79,0.29
6.33,-0.10,-1.17,0.25,1.17
6.49,0.28,-0.76,0.34,0.81
6.64,-0.29,-0.54,-0.18,0.62
6.82,-0.66,-0.93,-0.22,1.14
6.97,-0.37,-0.96,0.21,1.03
7.12,-0.37,-0.70,0.61,0.79
7.29,-0.26,-0.57,0.81,0.62
7.44,-0.23,-0.41,0.89,0.48
7.60,-0.23,-0.37,0.94,0.44
7.75,-0.15,-0.26,0.92,0.30
7.95,0.35,-0.19,1.09,0.40
8.06,-0.25,0.13,0.98,0.29
8.23,-0.16,-0.14,0.98,0.22
8.40,0.11,-0.71,0.51,0.72
8.54,0.07,-0.35,1.18,0.35
8.71,0.26,-0.44,0.79,0.51
8.86,0.09,-0.46,1.17,0.47
9.03,-0.74,-0.33,0.91,0.81
9.18,-1.28,0.26,-0.38,1.31
9.34,-1.21,-0.06,-0.72,1.21
9.51,-1.14,-0.18,0.20,1.15
9.65,0.32,0.57,0.46,0.65
9.82,0.96,-0.27,0.12,1.00
9.97,0.79,-0.56,0.10,0.97
10.15,0.28,-0.81,0.50,0.86
10.30,-0.32,-0.88,0.53,0.94
10.45,-0.38,-0.92,0.18,0.99
10.62,-0.05,-0.74,0.56,0.75
10.77,-0.24,-0.96,0.78,0.99
10.95,1.08,-0.79,0.41,1.33
11.08,-0.37,-0.12,-0.88,0.39
11.25,-0.63,2.58,-0.18,2.66
11.41,-1.04,-0.26,-0.51,1.07
11.57,-0.70,-0.70,-0.31,0.99
11.73,0.26,-0.55,0.60,0.61
11.89,1.16,0.03,0.41,1.16
12.04,0.71,-0.71,-0.41,1.00
12.21,0.34,-0.73,-0.44,0.80
12.36,0.47,-0.72,-0.41,0.85
12.52,0.83,-0.72,0.00,1.10
12.67,0.55,-0.37,0.44,0.66
12.84,0.43,-0.57,0.62,0.71
12.98,0.74,-1.02,0.28,1.25
13.15,0.55,-0.81,0.52,0.97
13.31,0.27,-0.56,0.49,0.62
13.51,1.00,-0.66,0.20,1.20
13.63,1.31,-1.41,-0.16,1.92
13.81,0.79,-0.51,0.50,0.94
13.95,0.82,-0.55,0.35,0.99
14.11,-1.95,-0.86,0.21,2.13
14.29,-0.40,-0.46,1.10,0.61
14.43,-0.08,-0.68,0.74,0.69
14.57,0.31,-0.81,0.39,0.86
14.74,0.55,-0.85,0.40,1.01
14.95,0.47,-0.96,0.27,1.06
15.06,0.32,-0.97,0.16,1.02
15.21,0.23,-0.93,0.44,0.96
15.37,0.26,-0.72,0.71,0.76
15.54,0.35,-0.72,0.49,0.80
15.70,0.23,-0.73,0.25,0.77
15.83,0.69,-1.19,0.10,1.38
16.00,0.39,-0.70,0.37,0.80
16.15,0.43,-0.81,0.64,0.92
16.33,0.13,-1.04,0.14,1.04
16.47,0.05,-0.66,0.26,0.66
16.63,0.23,-0.74,0.05,0.78
16.79,0.92,-0.90,0.52,1.28
16.94,0.61,-1.13,0.46,1.28
17.14,0.09,-0.84,0.08,0.85
17.28,0.31,-0.94,-0.06,0.99
17.44,0.52,-0.78,0.32,0.94
17.59,0.52,-0.47,0.70,0.70
17.74,0.29,-0.53,0.77,0.60
17.90,-0.10,-0.64,0.76,0.65
18.07,-0.22,-0.49,0.87,0.53
18.22,0.03,-0.28,0.93,0.28
18.38,0.28,-0.12,0.96,0.30
18.54,0.10,0.08,0.97,0.13
18.70,-0.44,-0.17,1.10,0.47
18.85,0.12,-0.24,0.95,0.27
19.01,0.16,-0.76,0.48,0.78
19.16,-0.23,-0.53,0.43,0.58
19.34,-0.32,-0.48,0.64,0.58
19.48,0.93,-0.16,0.20,0.94
19.65,0.97,-0.10,0.48,0.97
19.81,0.38,-1.05,0.24,1.11
19.96,0.36,-1.08,0.48,1.14
20.13,0.73,-0.79,0.49,1.07
20.29,0.27,-0.48,0.10,0.56
20.46,0.07,-1.19,0.04,1.19
20.59,0.04,-0.39,0.54,0.39
20.76,-0.59,0.89,-0.03,1.07
20.91,2.30,0.80,-0.32,2.43
21.07,-0.66,0.38,-0.38,0.76
21.24,0.06,-0.47,0.03,0.47
21.38,0.74,-0.25,0.40,0.78
21.55,0.71,-0.01,0.52,0.71
21.72,0.67,-0.12,0.77,0.68
21.86,0.50,-0.33,0.81,0.60
22.03,0.33,-0.47,0.77,0.58
22.18,0.20,-0.41,1.04,0.46
