Time (s),Location - X (cm),Location - Y (cm)
0.00,0.00,0.00
0.16,0.00,0.00
0.31,-0.01,-0.18
0.48,-0.11,-0.24
0.64,0.26,-0.60
0.79,0.60,-0.99
0.96,1.22,-0.43
1.10,4.03,1.54
1.27,6.40,4.04
1.42,10.92,8.20
1.59,17.65,13.69
1.74,27.12,21.09
1.90,36.57,20.70
2.08,36.49,19.82
2.22,37.20,19.18
2.38,42.13,17.92
2.53,44.60,22.67
2.68,44.68,24.26
2.85,45.74,24.10
3.00,50.86,27.34
3.16,55.44,28.94
3.31,56.54,29.56
3.46,58.85,32.11
3.63,65.84,38.82
3.79,72.23,43.59
3.96,72.27,43.20
4.11,73.21,43.42
4.29,73.04,43.93
4.44,74.02,44.61
4.59,78.85,44.34
4.74,80.38,44.25
4.90,81.04,44.19
5.05,85.54,43.70
5.22,90.46,43.37
5.38,93.96,43.14
5.53,94.67,43.16
5.70,94.20,43.08
5.84,94.98,42.86
6.01,97.58,42.06
6.18,101.58,42.21
6.33,108.70,47.92
6.49,110.22,51.67
6.64,113.09,57.32
6.82,119.40,60.91
6.97,119.85,61.00
7.12,117.36,59.74
7.29,116.04,59.03
7.44,115.31,58.41
7.60,114.85,57.92
7.75,114.63,57.72
7.95,114.58,57.66
8.06,114.17,56.98
8.23,111.39,56.91
8.40,107.92,54.62
8.54,107.25,53.93
8.71,102.59,50.50
8.86,96.63,46.80
9.03,93.54,46.11
9.18,89.36,44.47
9.34,85.60,45.95
9.51,84.60,48.50
9.65,87.24,48.21
9.82,86.16,53.59
9.97,83.88,55.59
10.15,80.78,59.94
10.30,77.44,67.41
10.45,72.93,76.27
10.62,67.25,87.35
10.77,60.65,101.46
10.95,57.51,121.13
11.08,58.90,124.45
11.25,73.85,130.09
11.41,81.33,135.13
11.57,80.69,136.56
11.73,77.18,135.53
11.89,76.89,132.89
12.04,77.50,140.43
12.21,77.84,149.01
12.36,77.80,150.24
12.52,78.50,150.81
12.67,79.89,152.48
12.84,81.14,158.20
12.98,82.23,163.89
13.15,84.42,170.18
13.31,86.90,178.54
13.51,90.01,188.08
13.63,93.41,198.83
13.81,97.28,210.62
13.95,101.39,222.48
14.11,106.48,230.87
14.29,110.24,231.10
14.43,109.57,230.98
14.57,113.22,232.05
14.74,115.64,232.87
14.95,119.02,233.59
15.06,121.18,233.86
15.21,121.95,233.54
15.37,124.68,233.43
15.54,131.05,233.67
15.70,137.37,234.44
15.83,141.39,235.64
16.00,143.24,236.15
16.15,147.13,236.16
16.33,153.54,236.33
16.47,159.45,236.71
16.63,162.89,237.57
16.79,165.85,238.13
16.94,171.35,238.59
17.14,179.34,239.23
17.28,184.86,240.16
17.44,185.99,240.57
17.59,185.07,240.28
17.74,185.49,240.10
17.90,185.35,239.34
18.07,184.04,239.44
18.22,183.24,239.81
18.38,181.68,239.88
18.54,180.62,239.87
18.70,180.80,239.92
18.85,180.78,239.69
19.01,179.12,235.66
19.16,177.71,233.78
19.34,174.63,229.12
19.48,175.31,224.82
19.65,173.77,219.79
19.81,170.88,209.06
19.96,167.36,199.52
20.13,162.62,188.12
20.29,154.26,169.33
20.46,146.89,153.12
20.59,140.56,139.19
20.76,132.40,132.85
20.91,144.72,131.81
21.07,133.56,121.46
21.24,137.95,115.81
21.38,138.87,115.10
21.55,138.56,113.72
21.72,137.74,111.44
21.86,137.14,110.12
22.03,136.67,109.71
22.18,137.26,110.64
22.35,137.56,111.53
22.49,139.11,112.04
22.66,142.05,113.77
22.83,145.14,116.03
22.97,150.49,119.58
23.14,158.70,124.45
23.28,169.22,130.46
23.44,181.83,137.85
23.61,197.73,147.28
23.76,216.41,149.99
23.92,219.96,147.70
24.09,222.74,150.95
24.23,224.46,150.13
24.40,232.72,152.51
24.55,238.90,154.80
24.70,240.05,155.29
24.87,240.06,155.30
25.02,238.47,154.83
25.18,228.62,151.62
25.34,228.63,151.63
25.51,228.27,151.94
25.66,227.68,150.92
25.84,227.05,150.79
25.98,223.02,153.61
26.14,221.44,154.85
26.29,215.23,158.25
26.46,207.47,162.37
26.62,198.23,167.01
26.77,191.73,170.81
26.93,189.94,169.80
27.08,186.35,172.82
27.25,183.96,179.24
27.43,183.71,188.72
27.56,184.14,194.52
27.73,180.82,207.73
27.88,181.49,223.37
28.05,173.84,238.21
28.21,168.52,244.12
28.36,169.12,248.19
28.53,170.15,246.80
28.67,170.28,247.48
28.84,169.16,250.60
29.01,166.25,253.31
29.16,162.40,253.92
29.32,156.43,250.37
29.47,144.71,244.35
29.64,133.31,239.85
29.78,121.06,234.34
29.95,105.67,227.66
30.10,88.19,220.42
30.28,69.76,212.43
30.42,48.13,205.49
30.56,38.24,202.15
30.73,25.33,208.22
30.90,17.82,219.72
31.06,-0.52,225.50
31.21,4.46,226.78
31.37,3.15,222.56
31.54,3.41,211.74
31.69,4.67,206.34
31.84,3.11,193.03
32.00,2.74,183.68
32.18,2.28,171.67
32.32,1.38,156.33
32.49,1.06,144.23
32.63,2.43,130.58
32.80,2.89,132.84
32.95,7.67,128.55
33.11,12.53,124.14
33.28,11.89,124.49
33.45,20.42,121.66
33.60,24.33,119.99
33.75,28.81,118.62
33.91,32.76,115.92
34.08,36.48,114.40
34.22,41.48,111.32
34.39,47.75,105.53
34.54,53.24,101.21
34.71,59.37,96.57
34.85,63.96,91.90
35.02,68.42,87.78
35.17,75.11,82.40
35.32,82.80,75.72
35.49,90.34,69.70
35.64,100.23,62.07
35.80,110.00,53.49
35.95,120.27,45.36
36.15,132.42,35.72
36.28,147.69,25.88
36.45,153.37,25.23
36.61,154.59,25.00
36.76,153.51,25.19
36.91,154.48,25.43
37.06,155.44,25.63
37.23,155.55,25.67
37.37,155.46,25.66
37.54,155.43,25.66
37.70,155.31,25.65
37.87,155.22,25.64
38.02,155.13,25.63
38.19,155.06,25.63
38.32,154.98,25.62
38.50,154.89,25.60
38.65,155.01,25.66
38.80,155.18,25.73
38.97,155.20,25.75
39.13,155.22,25.76
39.28,155.23,25.77
39.44,155.23,25.78
39.61,155.24,25.79
39.76,155.24,25.79
