Time (s),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s)
0.00,0.00,0.00,0.00
0.16,0.00,0.00,0.00
0.31,-0.32,-7.58,7.58
0.48,-8.30,1.07,8.37
0.64,4.06,-3.89,5.63
0.79,-1.18,0.23,1.21
0.96,22.19,12.00,25.22
1.10,10.84,11.32,15.68
1.27,22.96,22.18,31.92
1.42,32.59,28.31,43.17
1.59,51.78,40.89,65.97
1.74,59.44,47.00,75.77
1.90,7.07,-15.66,17.18
2.08,-0.62,2.72,2.79
2.22,6.45,-20.92,21.89
2.38,46.74,33.65,57.59
2.53,3.51,14.87,15.28
2.68,0.87,1.24,1.52
2.85,8.42,-10.86,13.74
3.00,46.28,29.12,54.68
3.16,13.64,2.49,13.87
3.31,5.33,7.81,9.46
3.46,26.54,29.02,39.33
3.63,56.55,48.08,74.22
3.79,17.86,10.67,20.80
3.96,-4.13,-4.53,6.13
4.11,4.97,1.11,5.09
4.29,-1.43,5.95,6.12
4.44,21.69,0.46,21.70
4.59,25.16,-0.67,25.17
4.74,0.59,0.07,0.60
4.90,15.02,-1.35,15.09
5.05,39.42,-2.99,39.53
5.22,26.42,-1.96,26.49
5.38,15.05,-0.69,15.07
5.53,-2.88,-0.26,2.89
5.70,-1.46,1.02,1.78
5.84,5.40,1.10,5.51
6.01,17.01,-4.60,17.62
6.18,38.84,11.89,40.62
6.33,28.04,44.50,52.59
6.49,8.83,17.27,19.40
6.64,55.35,73.95,92.36
6.82,19.08,2.08,19.20
6.97,-7.22,-3.09,7.85
7.12,-15.14,-8.39,17.31
7.29,-7.11,-5.12,8.76
7.44,-3.78,-3.87,5.41
7.60,-2.10,-2.10,2.97
7.75,-0.50,-0.49,0.70
7.95,-1.92,-2.45,3.11
8.06,-5.99,8.02,10.01
8.23,-26.97,-11.61,29.36
8.40,-16.02,-13.73,21.10
8.54,-4.99,-3.23,5.95
8.71,-47.52,-34.75,58.88
8.86,-9.27,-1.29,9.36
9.03,-20.12,-11.50,23.18
9.18,-30.97,1.16,30.99
9.34,-19.43,16.73,25.64
9.51,10.73,6.73,12.67
9.65,-5.06,32.89,33.28
9.82,-8.35,19.92,21.60
9.97,-19.69,14.41,24.40
10.15,-11.94,35.58,37.53
10.30,-24.10,48.06,53.76
10.45,-27.07,54.12,60.51
10.62,-41.49,82.97,92.77
10.77,-49.76,109.39,120.18
10.95,4.86,29.89,30.28
11.08,5.45,7.86,9.56
11.25,149.76,73.44,166.79
11.41,0.08,-2.53,2.53
11.57,-18.35,14.20,23.20
11.73,-18.71,-20.73,27.93
11.89,0.25,-10.07,10.07
12.04,11.54,97.94,98.61
