Time (s),Distance - X ,Distance - Y ,Distance - Total 
0.00,0.00,0.00,0.00
0.17,0.00,0.00,0.00
0.32,0.51,0.59,0.78
0.48,2.63,3.11,4.07
0.63,2.65,6.70,7.66
0.81,2.87,10.29,11.26
0.95,3.40,17.02,18.01
1.11,4.43,27.46,28.51
1.29,5.61,39.01,40.12
1.43,9.36,47.89,49.75
1.59,10.83,52.15,54.26
1.76,12.38,62.67,64.89
1.91,16.52,79.19,81.93
2.09,21.50,95.26,98.75
2.24,26.58,110.52,114.84
2.39,31.75,126.32,131.46
2.55,38.34,132.46,140.46
2.70,38.93,133.74,141.88
2.87,39.64,138.02,146.21
3.05,39.71,151.06,159.26
3.18,40.24,162.73,170.93
3.33,40.85,174.87,183.09
3.50,41.78,193.15,201.40
3.66,42.65,211.37,219.64
3.81,43.80,230.55,238.84
3.96,44.92,250.52,258.85
4.13,46.11,261.23,269.63
4.29,47.62,277.04,285.51
4.44,51.69,291.23,300.26
4.61,53.64,308.89,318.04
4.75,54.31,311.29,320.52
4.92,55.25,313.42,322.86
5.07,57.03,313.49,324.63
5.22,58.12,317.93,329.21
5.38,58.32,318.79,330.09
5.57,58.50,319.58,330.90
5.70,58.99,322.43,333.79
5.87,59.09,323.06,334.42
6.01,59.10,323.06,334.44
6.18,59.11,323.11,334.48
6.34,59.11,323.12,334.50
6.49,59.12,323.15,334.53
6.65,59.13,323.22,334.60
6.81,59.14,323.26,334.64
6.96,59.14,323.26,334.64
7.12,59.14,323.27,334.65
7.27,59.15,323.28,334.67
7.44,59.15,323.30,334.68
7.60,59.15,323.31,334.69
7.77,59.15,323.32,334.70
7.92,59.15,323.33,334.71
8.07,59.15,323.34,334.72
8.25,59.15,323.34,334.72
8.38,59.16,323.34,334.72
8.55,59.16,323.36,334.74
8.72,59.16,323.38,334.76
8.86,59.16,323.38,334.76
9.02,59.16,323.38,334.76
9.18,59.16,323.38,334.77
9.33,59.16,323.39,334.77
9.49,59.29,324.09,335.48
9.64,59.38,324.60,336.01
9.79,59.40,324.70,336.10
9.96,59.40,324.72,336.12
10.11,59.40,324.72,336.12
10.27,59.40,324.74,336.15
10.44,59.41,324.77,336.18
10.59,59.42,324.80,336.21
10.75,59.42,324.83,336.24
10.92,59.43,324.88,336.29
11.07,59.45,324.95,336.36
11.24,59.45,325.02,336.43
11.39,59.45,325.02,336.43
11.55,59.51,325.28,336.69
11.70,59.58,325.64,337.06
11.87,59.58,325.67,337.09
12.03,59.59,325.72,337.14
12.18,59.59,325.72,337.15
12.33,59.60,325.77,337.19
12.49,59.60,325.78,337.20
12.66,59.60,325.79,337.22
12.81,59.61,325.80,337.23
12.96,59.61,325.81,337.24
13.12,59.61,325.82,337.25
13.27,59.61,325.83,337.25
13.44,59.61,325.84,337.26
13.59,59.61,325.85,337.27
13.75,59.62,325.86,337.28
13.91,59.62,325.86,337.29
14.07,59.62,325.87,337.29
14.22,59.62,325.87,337.30
14.40,59.62,325.87,337.30
14.55,59.62,325.88,337.30
14.70,59.62,325.88,337.31
14.87,59.62,325.89,337.31
15.01,59.62,325.89,337.32
15.18,59.62,325.89,337.32
15.34,59.62,325.90,337.32
15.49,59.62,325.90,337.32
15.66,59.63,325.90,337.33
15.81,59.63,325.90,337.33
15.97,59.63,325.91,337.33
16.14,59.63,325.91,337.34
16.29,59.63,325.91,337.34
16.44,59.63,325.91,337.34
16.60,59.63,325.92,337.34
16.75,59.63,325.92,337.35
16.92,59.63,325.92,337.35
17.07,59.63,325.92,337.35
17.23,59.63,325.92,337.35
17.38,59.63,325.93,337.35
17.55,59.63,325.93,337.36
17.70,59.63,325.93,337.36
17.86,59.76,326.58,338.02
18.02,60.11,328.57,340.04
18.18,60.55,329.08,340.72
18.35,60.77,329.45,341.14
18.50,61.06,329.92,341.69
18.66,61.60,330.73,342.67
18.83,61.75,330.91,342.90
18.98,61.92,331.16,343.20
19.14,61.96,331.23,343.29
19.29,61.99,331.24,343.31
19.44,63.07,332.80,345.22
19.60,63.93,333.86,346.58
19.77,64.09,334.15,346.90
19.94,64.84,335.64,348.58
20.08,65.21,336.69,349.69
20.25,65.46,336.89,350.01
20.40,65.53,336.98,350.13
20.56,65.57,337.04,350.20
20.71,65.62,337.09,350.27
20.88,65.64,337.13,350.31
21.03,65.66,337.16,350.35
21.19,65.66,337.16,350.35
21.36,65.67,337.18,350.37
21.51,65.68,337.19,350.39
21.68,65.68,337.20,350.39
21.82,65.69,337.22,350.42
21.99,65.70,337.23,350.43
22.15,65.70,337.24,350.44
22.31,65.71,337.25,350.45
22.47,65.71,337.25,350.46
22.62,65.71,337.26,350.46
22.79,65.72,337.27,350.47
22.93,65.72,337.27,350.48
23.09,65.72,337.28,350.49
23.25,65.73,337.28,350.49
23.40,65.73,337.29,350.50
23.57,65.73,337.29,350.50
23.73,65.73,337.30,350.51
23.88,65.73,337.30,350.51
24.04,65.76,337.35,350.57
24.19,65.79,337.41,350.63
24.36,65.79,337.41,350.64
24.51,65.79,337.42,350.64
24.69,65.79,337.42,350.64
24.83,65.79,337.42,350.64
24.99,65.79,337.42,350.64
25.14,65.79,337.42,350.64
25.29,65.79,337.42,350.64
25.45,65.79,337.42,350.64
25.62,65.79,337.42,350.64
25.77,65.79,337.42,350.64
25.94,65.79,337.42,350.64
26.10,65.80,337.42,350.65
26.25,65.80,337.42,350.65
26.40,65.80,337.42,350.65
26.56,65.80,337.43,350.65
26.71,65.80,337.43,350.65
26.88,65.80,337.43,350.65
