Time (s),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s)
0.00,-0.10,-0.25,0.00
0.17,-1.14,6.23,45.88
0.32,-35.40,-54.87,663.49
0.48,-277.77,-38.80,191.17
0.63,-90.15,-120.48,-52.20
0.81,50.22,11.27,-0.44
0.95,-75.98,65.03,52.30
1.11,-36.88,28.72,27.56
1.29,5.45,15.45,6.10
1.43,254.06,-262.20,-386.02
1.59,156.42,306.64,648.95
1.76,106.91,219.29,34.22
1.91,49.01,-112.23,-74.82
2.09,-174.40,-6.19,9.14
2.24,23.78,56.66,-14.79
2.39,-956.34,-324.08,-22.24
2.55,81.61,-52.51,-133.49
2.70,344.83,270.12,10.19
2.87,83.91,349.16,171.30
3.05,-283.07,-122.12,-176.23
3.18,139.74,29.14,-1.71
3.33,43.93,46.50,27.63
3.50,-15.53,-20.84,-0.62
3.66,53.28,2.92,7.78
3.81,-12.17,1.03,11.08
3.96,63.44,3.80,-11.82
4.13,249.10,482.26,-163.70
4.29,-307.04,-143.09,166.98
4.44,-58.85,568.63,202.46
4.61,-260.51,-110.87,-50.63
4.75,71.17,-140.69,28.09
4.92,330.79,196.10,-344.01
5.07,-4.53,94.47,12.07
5.22,-164.71,-0.03,1.83
5.38,149.45,-0.38,3.83
5.57,-8.81,-1.79,3.09
5.70,-75.39,-1.39,19.44
5.87,48.15,-3.01,-12.71
6.01,4.25,-0.02,0.00
6.18,3.58,-0.20,0.00
6.34,4.81,-0.57,0.37
6.49,11.00,-0.47,0.00
6.65,8.30,-0.58,0.00
6.81,3.46,-0.08,0.00
6.96,1.74,-0.20,-0.53
7.12,0.51,-0.01,-0.46
7.27,0.14,-0.13,-0.52
7.44,0.88,-0.01,0.00
7.60,0.27,-0.31,0.00
7.77,0.39,-0.06,0.00
7.92,0.14,-0.12,0.00
8.07,0.76,0.12,0.00
8.25,0.88,-0.07,0.00
8.38,1.13,-0.31,0.00
8.55,-2.49,0.19,-0.63
8.72,-0.10,0.06,0.00
8.86,1.25,0.06,0.00
9.02,0.76,-0.07,0.00
