Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
0.00,14.28,0.92,0.18
0.17,14.38,1.10,0.40
0.32,-4.73,84.87,-9.00
0.48,18.10,162.54,-6.28
0.63,41.26,174.66,4.07
0.81,39.10,173.52,13.96
0.95,40.61,174.01,6.84
1.11,48.69,174.93,-0.04
1.29,45.36,175.22,-2.17
1.43,70.80,167.91,54.46
1.59,35.72,140.40,66.89
1.76,26.08,-178.87,27.01
1.91,30.82,-165.85,17.32
2.09,36.81,-175.23,25.03
2.24,47.18,178.85,32.07
2.39,82.30,174.92,30.51
2.55,129.08,159.37,25.14
2.70,86.94,164.38,45.64
2.87,33.46,177.91,12.82
3.05,56.69,176.46,5.67
3.18,60.67,170.87,16.84
3.33,42.88,174.21,8.09
3.50,51.80,173.91,6.91
3.66,55.84,173.18,7.51
3.81,47.03,174.06,5.68
3.96,48.04,173.89,5.94
4.13,-24.85,139.07,68.47
4.29,22.59,-174.72,36.18
4.44,20.91,175.97,41.37
4.61,141.43,-162.78,-8.36
4.75,121.50,-106.55,-27.61
4.92,87.46,-168.15,8.55
5.07,53.62,166.59,5.68
5.22,78.37,168.08,0.64
5.38,74.80,169.34,-1.06
5.57,56.61,169.91,-1.29
5.70,79.90,169.99,-0.44
5.87,77.33,170.29,-0.53
6.01,74.15,170.32,-0.31
6.18,73.65,170.34,-0.27
6.34,73.27,170.40,-0.29
6.49,72.37,170.52,-0.32
6.65,70.88,170.62,-0.36
6.81,69.76,170.65,-0.36
6.96,69.35,170.68,-0.39
7.12,69.12,170.65,-0.35
7.27,69.04,170.64,-0.32
7.44,69.00,170.57,-0.27
7.60,68.86,170.57,-0.25
7.77,68.78,170.58,-0.25
7.92,68.73,170.58,-0.25
8.07,68.70,170.59,-0.27
8.25,68.57,170.60,-0.27
8.38,68.38,170.63,-0.28
8.55,68.52,170.50,-0.16
8.72,68.62,170.48,-0.13
8.86,68.59,170.50,-0.14
9.02,68.40,170.52,-0.16
9.18,68.27,170.52,-0.16
9.33,68.18,170.57,-0.20
9.49,74.50,169.98,0.21
9.64,76.53,170.30,-0.12
9.79,75.23,170.33,-0.11
9.96,73.98,170.37,-0.10
